MODEL,MODEL_NAME,Crop,VAR,Name
CSCER,BACER,Barley,IB0101,A.Abiad (2)
CSCRP,BACRP,Barley,IB0101,A.Abiad (2)
CSCER,BACER,Barley,IB0102,Beecher (6)
CSCRP,BACRP,Barley,IB0102,Beecher (6)
CSCER,BACER,Barley,IB0030,Maris Badger
CSCRP,BACRP,Barley,IB0030,Maris Badger
CSCER,WHCER,Wheat,IB1015,MARIS FUNDIN
CSCRP,WHCRP,Wheat,IB1015,MARIS FUNDIN
WHAPS,WHAPS,Wheat,IB1015,MARIS FUNDIN
CSCER,WHCER,Wheat,IB0488,NEWTON
CSCRP,WHCRP,Wheat,IB0488,NEWTON
WHAPS,WHAPS,Wheat,IB0488,NEWTON
CSCER,WHCER,Wheat,IB1500,MANITOU
CSCRP,WHCRP,Wheat,IB1500,MANITOU
WHAPS,WHAPS,Wheat,IB1500,MANITOU
CSCER,RICER,Rice,IB0003,IR 36
CSCER,RICER,Rice,IB0012,IR 58
CSCER,RICER,Rice,IB0020,RD 23
CSCER,RICER,Rice,IB0055,Basmati 385
CSCER,MZCER,Maize,IB0012,PIO 3382
CSCER,MZCER,Maize,IB0060,H610 (UH)
CSCER,MZCER,Maize,IB0063,PIO X 304C
CSCER,MZCER,Maize,IB1052,DK 611
CSCER,MZCER,Maize,IB0172,DAS CO32
CSCER,MZCER,Maize,IB0173,DKB 333B
CSCER,MZCER,Maize,IB0174,EXCELER
CSCER,MZCER,Maize,GH0010,OBATANPA
CSCER,MZCER,Maize,ZA0002,Prisma
CSCER,MZCER,Maize,IB0171,AG9010
CSCER,MZCER,Maize,IB0070,CARGILL 111S
CSCER,MZCER,Maize,IB0035,McCurdy 84aa
MZIXM,MZIXM,Maize,IB0012,PIO 3382
MZIXM,MZIXM,Maize,IB0060,H610 (UH)
MZIXM,MZIXM,Maize,IB0063,PIO X 304C
MZIXM,MZIXM,Maize,IB1052,DK 611
MZIXM,MZIXM,Maize,IB0171,AG9010
MZIXM,MZIXM,Maize,IB0172,DAS CO32
MZIXM,MZIXM,Maize,IB0173,DKB 333B
MZIXM,MZIXM,Maize,IB0174,EXCELER
MZIXM,MZIXM,Maize,ZA0002,Prisma
MZIXM,MZIXM,Maize,IB0070,CARGILL 111S
MZIXM,MZIXM,Maize,IB0035,McCurdy 84aa
MZIXM,MZIXM,Maize,ZA0002,Prisma
CSCER,SGCER,Sorghum,IB0040,RS610
CSCER,SGCER,Sorghum,IB0056,CSM335
CSCER,SGCER,Sorghum,IB0059,IS15401
CSCER,SGCER,Sorghum,IB0058,Fadda
CSCER,SGCER,Sorghum,IB0057,CSM63E
CSCER,SGCER,Sorghum,IB0026,CSH-1
CSCER,SWCER,Sweetcorn,SW0003,BSS0977 sh2
CSCER,SWCER,Sweetcorn,SW0002,Saturn sh2
CSCER,SWCER,Sweetcorn,SW0001,GSS0966 sh2
CSCER,MLCER,Millet,IB0044,CIVT
CSCER,MLCER,Millet,IB0033,BJ104
PTSUB,PTSUB,Potato,IB0002,SEBAGO
PTSUB,PTSUB,Potato,IB0003,Russet Burbank
PTSUB,PTSUB,Potato,IB0004,KATHADIN
PTSUB,PTSUB,Potato,DM0004,KAPTAH
PTSUB,PTSUB,Potato,IB0018,Hilite Russet
PTSUB,PTSUB,Potato,CI0002,CLON7716
PTSUB,PTSUB,Potato,AR0003,ACHIRANA
PTSUB,PTSUB,Potato,IB0005,ATLANTIC
TNARO,TNARO,Tanier,IB0006,BLANCA
TNARO,TNARO,Tanier,IB0005,KELLY
TNARO,TNARO,Tanier,IB0007,MORANDA
TRARO,TRARO,Taro,IB0008,BLANCA
TRARO,TRARO,Taro,IB0002,BUNLONG
TRARO,TRARO,Taro,IB0010,LEHUA-MAUI
TRARO,TRARO,Taro,IB0001,LEHUA
TRARO,TRARO,Taro,IB0009,LILA
